drug_a,drug_b,severity,interaction_type,mechanism,recommendation
Aspirin,Warfarin,MAJOR,Pharmacodynamic,Aspirin may increase the anticoagulant activities of Warfarin. Increased risk of bleeding.,Avoid combination or monitor INR closely.
Warfarin,Aspirin,MAJOR,Pharmacodynamic,Aspirin may increase the anticoagulant activities of Warfarin. Increased risk of bleeding.,Avoid combination or monitor INR closely.
Acetylsalicylic Acid,Warfarin,MAJOR,Pharmacodynamic,Aspirin may increase the anticoagulant activities of Warfarin. Increased risk of bleeding.,Avoid combination or monitor INR closely.
Warfarin,Acetylsalicylic Acid,MAJOR,Pharmacodynamic,Aspirin may increase the anticoagulant activities of Warfarin. Increased risk of bleeding.,Avoid combination or monitor INR closely.
Ecotrin,Warfarin,MAJOR,Pharmacodynamic,Aspirin may increase the anticoagulant activities of Warfarin. Increased risk of bleeding.,Avoid combination or monitor INR closely.
Warfarin,Ecotrin,MAJOR,Pharmacodynamic,Aspirin may increase the anticoagulant activities of Warfarin. Increased risk of bleeding.,Avoid combination or monitor INR closely.
Bayer,Warfarin,MAJOR,Pharmacodynamic,Aspirin may increase the anticoagulant activities of Warfarin. Increased risk of bleeding.,Avoid combination or monitor INR closely.
Warfarin,Bayer,MAJOR,Pharmacodynamic,Aspirin may increase the anticoagulant activities of Warfarin. Increased risk of bleeding.,Avoid combination or monitor INR closely.
Aspirin,Coumadin,MAJOR,Pharmacodynamic,Aspirin may increase the anticoagulant activities of Warfarin. Increased risk of bleeding.,Avoid combination or monitor INR closely.
Coumadin,Aspirin,MAJOR,Pharmacodynamic,Aspirin may increase the anticoagulant activities of Warfarin. Increased risk of bleeding.,Avoid combination or monitor INR closely.
Aspirin,Jantoven,MAJOR,Pharmacodynamic,Aspirin may increase the anticoagulant activities of Warfarin. Increased risk of bleeding.,Avoid combination or monitor INR closely.
Jantoven,Aspirin,MAJOR,Pharmacodynamic,Aspirin may increase the anticoagulant activities of Warfarin. Increased risk of bleeding.,Avoid combination or monitor INR closely.
